date,game_type,home_team ,score_for,away team,score_against
1969-10-14,regular_season,New York Knicks,126,Seattle SuperSonics,101
1969-10-15,regular_season,Atlanta Hawks,124,Seattle SuperSonics,119
1969-10-15,regular_season,Baltimore Bullets,98,Chicago Bulls,93
1969-10-15,regular_season,Cincinnati Royals,89,New York Knicks,94
1969-10-16,regular_season,Phoenix Suns,116,San Diego Rockets,114
1969-10-17,regular_season,Boston Celtics,108,Cincinnati Royals,110
1969-10-17,regular_season,Chicago Bulls,87,New York Knicks,116
1969-10-17,regular_season,Philadelphia 76ers,131,Los Angeles Lakers,126
1969-10-18,regular_season,Atlanta Hawks,121,Phoenix Suns,116
1969-10-18,regular_season,Baltimore Bullets,124,Boston Celtics,117
1969-10-18,regular_season,Chicago Bulls,131,Seattle SuperSonics,126
1969-10-18,regular_season,Cincinnati Royals,123,Philadelphia 76ers,134
1969-10-18,regular_season,Milwaukee Bucks,119,Detroit Pistons,110
1969-10-18,regular_season,New York Knicks,99,Los Angeles Lakers,96
1969-10-18,regular_season,San Francisco Warriors,124,San Diego Rockets,125
1969-10-19,regular_season,Milwaukee Bucks,130,Seattle SuperSonics,106
1969-10-21,regular_season,Baltimore Bullets,137,Los Angeles Lakers,142
1969-10-21,regular_season,Detroit Pistons,98,Boston Celtics,97
1969-10-21,regular_season,New York Knicks,140,Phoenix Suns,116
1969-10-22,regular_season,Atlanta Hawks,93,San Francisco Warriors,94
1969-10-22,regular_season,Cincinnati Royals,109,Los Angeles Lakers,116
1969-10-22,regular_season,Philadelphia 76ers,122,Phoenix Suns,119
1969-10-22,regular_season,San Diego Rockets,102,Milwaukee Bucks,115
1969-10-23,regular_season,New York Knicks,109,San Francisco Warriors,112
1969-10-24,regular_season,Baltimore Bullets,131,Cincinnati Royals,126
1969-10-24,regular_season,Boston Celtics,110,Atlanta Hawks,122
1969-10-24,regular_season,Detroit Pistons,92,New York Knicks,116
1969-10-24,regular_season,Los Angeles Lakers,123,Milwaukee Bucks,112
1969-10-24,regular_season,Phoenix Suns,115,Chicago Bulls,116
1969-10-25,regular_season,Atlanta Hawks,104,Detroit Pistons,125
1969-10-25,regular_season,New York Knicks,128,Baltimore Bullets,99
1969-10-25,regular_season,Philadelphia 76ers,98,Cincinnati Royals,109
1969-10-25,regular_season,San Diego Rockets,107,Phoenix Suns,115
1969-10-25,regular_season,San Francisco Warriors,118,Milwaukee Bucks,104
1969-10-25,regular_season,Seattle SuperSonics,106,Los Angeles Lakers,130
1969-10-26,regular_season,Los Angeles Lakers,129,Chicago Bulls,125
1969-10-26,regular_season,Phoenix Suns,99,Milwaukee Bucks,119
1969-10-28,regular_season,Detroit Pistons,110,Baltimore Bullets,125
1969-10-28,regular_season,Milwaukee Bucks,107,Boston Celtics,120
1969-10-28,regular_season,New York Knicks,128,Atlanta Hawks,104
1969-10-28,regular_season,Seattle SuperSonics,114,Chicago Bulls,116
1969-10-29,regular_season,Atlanta Hawks,117,San Diego Rockets,113
1969-10-29,regular_season,Baltimore Bullets,105,Philadelphia 76ers,129
1969-10-29,regular_season,San Francisco Warriors,87,Chicago Bulls,101
1969-10-30,regular_season,Detroit Pistons,81,Milwaukee Bucks,102
1969-10-30,regular_season,New York Knicks,123,San Diego Rockets,110
1969-10-30,regular_season,Phoenix Suns,106,Cincinnati Royals,104
1969-10-31,regular_season,Baltimore Bullets,109,Chicago Bulls,118
1969-10-31,regular_season,Boston Celtics,118,San Diego Rockets,113
1969-10-31,regular_season,Philadelphia 76ers,125,Milwaukee Bucks,129
1969-10-31,regular_season,Seattle SuperSonics,129,Cincinnati Royals,121
1969-11-01,regular_season,Baltimore Bullets,137,Atlanta Hawks,140
1969-11-01,regular_season,Detroit Pistons,130,San Diego Rockets,113
1969-11-01,regular_season,New York Knicks,112,Milwaukee Bucks,108
1969-11-01,regular_season,Philadelphia 76ers,123,Boston Celtics,131
1969-11-01,regular_season,San Francisco Warriors,120,Cincinnati Royals,97
1969-11-02,regular_season,Atlanta Hawks,125,Seattle SuperSonics,113
1969-11-02,regular_season,Los Angeles Lakers,116,Cincinnati Royals,124
1969-11-03,regular_season,Milwaukee Bucks,93,New York Knicks,109
1969-11-04,regular_season,Baltimore Bullets,124,San Francisco Warriors,105
1969-11-04,regular_season,Chicago Bulls,109,Philadelphia 76ers,113
1969-11-04,regular_season,Detroit Pistons,102,Seattle SuperSonics,116
1969-11-04,regular_season,Phoenix Suns,99,New York Knicks,116
1969-11-05,regular_season,Atlanta Hawks,128,Boston Celtics,121
1969-11-05,regular_season,Cincinnati Royals,133,San Diego Rockets,120
1969-11-05,regular_season,Philadelphia 76ers,130,Baltimore Bullets,139
1969-11-06,regular_season,Chicago Bulls,137,Atlanta Hawks,142
1969-11-06,regular_season,Cincinnati Royals,109,San Francisco Warriors,130
1969-11-07,regular_season,Baltimore Bullets,126,Seattle SuperSonics,112
1969-11-07,regular_season,Boston Celtics,110,San Francisco Warriors,111
1969-11-07,regular_season,Detroit Pistons,134,Philadelphia 76ers,128
1969-11-07,regular_season,Los Angeles Lakers,120,Phoenix Suns,122
1969-11-07,regular_season,San Diego Rockets,111,New York Knicks,129
1969-11-08,regular_season,Atlanta Hawks,106,San Francisco Warriors,93
1969-11-08,regular_season,Chicago Bulls,103,Boston Celtics,87
1969-11-08,regular_season,Cincinnati Royals,130,Baltimore Bullets,121
1969-11-08,regular_season,Milwaukee Bucks,100,Detroit Pistons,96
1969-11-08,regular_season,Philadelphia 76ers,117,Seattle SuperSonics,125
1969-11-09,regular_season,Los Angeles Lakers,102,New York Knicks,112
1969-11-09,regular_season,Milwaukee Bucks,105,Baltimore Bullets,116
1969-11-09,regular_season,Phoenix Suns,140,Detroit Pistons,129
1969-11-10,regular_season,Atlanta Hawks,133,Chicago Bulls,132
1969-11-10,regular_season,San Diego Rockets,100,San Francisco Warriors,99
1969-11-11,regular_season,Atlanta Hawks,124,Philadelphia 76ers,107
1969-11-11,regular_season,Boston Celtics,118,Milwaukee Bucks,129
